,Company,Sector,Query,Method,Answer Passage Index,Answer Passage,Answer,Answer Edit
0,Blackstone_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"12  
The eligible categories for the use of proceeds – Green Buildings, Renewable Energy, Energy Efficiency, Clean 
Transportation and Tenant Relationships – are aligned with those recognized by the Green Bond Principles 
2018 and the Green Loan Principles 2021. Sustainalytics considers that the eligible categories will lead to 
positive environmental impacts and advance the UN Sustainable Development Goals, specifically SDG  7, 9 
and 11.  ","Green Buildings, Renewable Energy, Energy Efficiency, Clean  Transportation and Tenant Relationships","Green Buildings, Renewable Energy, Energy Efficiency, Clean  Transportation and Tenant Relationships"
1,Castellum_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,2,"1. USE OF PROCEEDS  
Overall comment on section (if applicable) :  
The Use of Proceeds of this bond are clearly described in the public offering statement. Castellum is 
directing the proceeds to the development and/or acquisition  of new and existing real estate assets that 
are certified against Miljöbyggnad or BREEAM stan dards. These are environmental assessment standards 
that offer clear environmental benefits, such as reduced energy and water use. The properties that are 
certified against these standards are of greater eco -efficiency , with better energy efficiency perfor mance,  
and are a use of proceeds category recognized by the GBP.  ",the development and/or acquisition  of new and existing real estate assets that  are certified against Miljöbyggnad or BREEAM stan dards,the development and/or acquisition  of new and existing real estate assets
2,Cibus_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"6 Conclusion   
Cibus  has developed the Cibus Green Bond Framework  under which it will issue green bonds and the use of 
proceeds to finance green and energy efficient buildings.  Sustainalytics considers that the project s funded by 
the green bond proceeds will provide positive environmental impact .  
The Cibus Green Bond Framework  outlines a process by which proceeds will be tracked, allocated, and 
managed, and commitments have bee n made for reporting on the allocation and impact of the use of 
proceeds. Furthermore, Sustainalytics believes that  the  green use of proceed s category will contribute to the 
advancement of  the  UN Sustainable Development Goa ls 7 & 11 . Additionally, Sustaina lytics is of the opinion 
that Cibus  has adequate  measures to identify, manage and mitigate environmental and social risks commonly 
associated with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that  Cib us Nordic Real Estate AB  is well -positioned to issue 
green bonds and that  the Cibus Green Bond Framework  is robust, transparent, and in alignment with the four 
core components of the Green Bond Principles 2018.  
  ",green and energy efficient buildings,green and energy efficient buildings
3,CTP_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Conclusion  
CTP  has developed the CTP Green Bond Framework  under which it will issue green bonds and the use of 
proceeds to finance r eal estate development and upgrades that may contribute to the improvement of the 
energy performance of the building stock and increase renewable energy capacity in CEE, th us facilitating 
transition to a low‐carbon economy.  Sustainalytics considers that the projects  funded by the green bond 
proceeds will provide positive environmental impact.  
The CTP Green Bond Framework  outlines a process by which proceeds will be tracked,  allocated, and 
managed, and commitments have been made for reporting on the allocation and impact of the use of 
proceeds. Furthermore, Sustainalytics believes that the CTP Green Bond Framework  is aligned with the overall 
sustainability strategy of the com pany and that the green use of proceeds  categories  will contribute to the 
advancement of the UN Sustainable Development Goals 7 and 11. Additionally, Sustainalytics is of the opinion 
that CTP  has adequate measures to identify, manage and mitigate environme ntal and social risks commonly 
associated with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that CTP Group  is well -positioned to issue green bonds and 
that the CTP Green Bond Framework  is robust, tran sparent, and in alignment with the four core components 
of the Green Bond Principles 2018.  
  ",r eal estate development and upgrades that may contribute to the improvement of the  energy performance of the building stock and increase renewable energy capacity in CEE,r eal estate development and upgrades
4,Deutsche%20Wohnen_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Conclusion   
Deutsche Wohnen  has developed the Deutsche Wohnen Green Finance Framework  under which it will enter  
into financing transaction and use the  proceeds to finance  and/or refinance  green building s, renewable energy 
and clean transportation project that have environmental benef its.  Sustainalytics considers that the project s 
funded by the net  proceeds are expected to  provide positive environmental impact .  
The Deutsche Wohnen Green Finance Framework  outlines a process by which proceeds will be tracked, 
allocated, and managed, and  commitments have been made for reporting on the allocation and impact of the 
use of proceeds. Furthermore, Sustainalytics believes that  the  Deutsche Wohnen Green Finance Framework  
is aligned with the overall sustainability strategy of the company and that  the green use of proceed s categor ies 
will contribute to the advancement of  the  UN Sustainable Development Goa ls 7, 9 and 11.  Additionally, 
Sustainalytics is of the opinion that Deutsche Wohnen  has adequate  measures to identify, manage and 
mitigate environmental and social risks commonly associated with the eligible projects funded by the use of 
proceeds.  
Based on the above, Sustainalytics is confident that  Deutsche Wohnen  is well -positioned to enter into gr een 
financing transactions  and that  the Deutsche Wohnen Green Finance Framework  is robust, transparent, and 
in alignment with the four core components of the Green Bond Principles 2018  and Green Loan Principles 
2020 . 
  ","green building s, renewable energy  and clean transportation project that have environmental benef its","green building s, renewable energy  and clean transportation project"
5,Globalworth_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1," 
Conclusion   
Globalworth has developed the Globalworth  Green Bond Framework  under which it will issue green bonds and 
use the  proceeds to finance investments in green buildings and building efficiency upgrades in Poland and 
Romania . Sustainalytics considers that the projects funded by the green bond proceeds will provide a positive 
environmental impact  by improving the energy efficiency of the build ing portfolio owned and operated by GWI .  
The Framework  outlines a process by which proceeds will be tracked, allocated, and managed, and 
commitments have been made for reporting on the allocation and impact of the use of proceeds. Furthermore, 
Sustainalyt ics believes that the Framework  is aligned with the overall sustainability strategy of the company 
and that the green use of proceeds categories will contribute to the advancement of the UN Sustainable 
Development Goals 7: Affor dable & Clean Energy and 11: Sustainable Cities & Communities . Additionally, 
Sustainalytics is of the opinion that Globalworth  has adequate measures to identify, manage and mitigate 
environmental and social risks commonly associated with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that Globalworth  is well -positioned to issue green bonds and 
that t he Globalworth  Green Bond Framework  is robust, transparent, and in alignment with the four core 
components of the Green Bond Princi ples 2018.  ",investments in green buildings and building efficiency upgrades in Poland and  Romania,investments in green buildings and building efficiency upgrades
6,ICADE_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,5," 
Conclusion  
Icade, one of the leading companies in the Real Estate Industry in terms of ESG performance, as per 
Sustainalytics’ ESG research universe, devel oped a Green Bond Framework for the future issuance of a 
Green Bond. The proceeds will be allocated towards financing or refinancing : 
(i) the  construction and /or  renovation of green b uildings (i.e. buildings that received a minimum 
of HQE ‘very good’ and/or BR EEAM ‘very g ood ’ certification , are located within 400 m of public 
transport and for which there is an existing or planned  set up of a Green Lease Committee); 
and  
(ii) investments in energy efficiency and energy transition projects, including energy efficiency 
equipm ent projects, renewable energy production projects and e co-mobility projects.  ",the  construction and /or  renovation of green b uildings,the  construction and /or  renovation of green b uildings
7,Johnson_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Conclusion   
JCI has developed the Johnson Controls Green Finance Framework under which it may issue Green 
Financ ing s  and use the proceeds to finance projects in six  categories namely  Eco -efficient and/or circular 
economy adapted products, production technologies and processes, Green Buildings, Pollution Prevention 
and Control, Sustainable Water and Wastewater Management, Clean Transportation, and Renewable Energy . 
Sustainalytics considers that the projects funded by the proceeds will provide positive environmental impact.  
The Johnson Controls Green Finance Framework ou tlines a process by which proceeds will be tracked, 
allocated, and managed, and commitments have been made for reporting on the allocation and impact of the 
use of proceeds. Furthermore, Sustainalytics believes that the Framework is aligned with the overal l 
sustainability strategy of the Company and that the use of proceeds categories will contribute to the 
advancement of the UN Sustainable Development Goals 6, 7, 9, and 11 . Additionally, Sustainalytics is of the 
opinion that JCI  has adequate measures to id entify, manage and mitigate environmental and social risks 
commonly associated with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that Johnson Controls is well -positioned to issue Green 
Financing s  and  that the  Johnson Controls Green Finance  Framework is robust, transparent, and in alignment 
with the four core components of the Green Bond Principles (2018)  and Green Loan Principles (2020) . ","projects in six  categories namely  Eco -efficient and/or circular  economy adapted products, production technologies and processes, Green Buildings, Pollution Prevention  and Control, Sustainable Water and Wastewater Management, Clean Transportation, and Renewable Energy",projects in six  categories
8,Specialfastigheter-External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,1,"Specialfastigheter has developed a Green Bond Framework under which it intends to issue green bonds. 
Proceeds of the bonds will be used to finance or refinance, projects intended to improve the 
environmental performance of the company’s property holdings. Specifically, proceeds will be allocated 
to projects relating to: (i) Green buildings; (ii) Energy efficiency; (iii) Environmentally sustainable 
management of living natural resources; (iv) Renewable energy; and (v) Sustainable water and 
wastewater management. The eligible categories are recognized by the Green Bond Principles as project 
categories with clear environmental benefits, and Sustainalytics views these projects as having a  positive 
impact.  ",projects intended to improve the  environmental performance of the company’s property holdings,projects intended to improve the  environmental performance of the company’s property holdings
9,tritax-eurobox_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,3,"8 Conclusion   
Tritax Euro Box has developed the Tritax EuroBox Gr een Finance Framework un der which it may issue green 
bonds  and loans  and use the  proceeds to finance eligible green  projects that advance sustainable buildings 
and logistics solutions  that reduce the carbon footprint of its operations.  Sustainalytics considers that the 
projects f unded by the green bond and loan proceeds are expected to have  a positive environmental imp act.  
The Tritax EuroBox Gr een Finance Framework outlines a process by which proceeds will be tracked, allocated, 
and managed, and  commitments have been made for rep orting on the allocation and impact of the use of 
proceeds. Furthermore, Sustainalytics bel ieves  that the Tritax EuroBox Gr een Finance Framework is aligned 
with the overall sustainability strategy of the company and that the green use  of proceeds categorie s will 
contribute to the advancement of the UN Sustainable Development Goals 7 and 9. Addit ionally, Sustainalytics  
is of the opinion that Tritax EuroBox has adequate measures to identify, manage and mitigate environmental 
and social risks commonly associat ed with the eligible projects funded by the use of proceeds.  
Based on the above, Sustainalytics is confident that Tritax EuroBox is well -positioned to issue green bonds 
and loans and that the Tritax EuroBox Gr een Finance Framework is robust, transparent, a nd in alignment with 
the four core components of the Green Bo nd Principles 2018 and Green Loan Principles 202 1. 
  ",eligible green  projects that advance sustainable buildings  and logistics solutions  that reduce the carbon footprint of its operations,eligible green  projects
10,Vesteda_External%20Review%20Report.pdf,Corporate-Real Estate,what did the use of proceeds finance?,T5,2,"Vesteda  has developed the Vesteda Green Finance  Framework  (the “ Framework ”) under which it is 
considering to issue multiple green bond s and potentially other products like green loans, green private 
placements , etc., and intends to use the proceeds to finance/refinance, in whole or in part, existing/future 
assets  that will improve the sustainability of its residential real estate portfolio . The Framework defines 
eligibility criteria in  the following area:  ","in whole or in part, existing/future  assets  that will improve the sustainability of its residential real estate portfolio ","in whole or in part, existing/future  assets"
